"Date","ID_Jar","Net","Lat_IN","Lon_IN","Depth_Min","Depth_Max","Volume_m3","Time_IN","Species_Name","Type","Length_l","Length_h","Tot_num"
"7/26/04",1,"Hoop",38.0461,-123.563,-1,-50,355.79,"9:41:00","Euphausia pacifica","imm f",14,14,1
"7/26/04",1,"Hoop",38.0461,-123.563,-1,-50,355.79,"9:41:00","Thysanoessa spinifera","juv",7,7.2,2
"7/26/04",1,"Hoop",38.0461,-123.563,-1,-50,355.79,"9:41:00","Euphausia pacifica","zoea",3.5,4,4
"7/26/04",2,"Hoop",38.0487809,-123.467652,-1,-50,367.1,"11:18:00","Euphausia pacifica","f",12,12,1
"7/26/04",2,"Hoop",38.0487809,-123.467652,-1,-50,367.1,"11:18:00","Euphausia pacifica","juv",5,7,136
"7/26/04",2,"Hoop",38.0487809,-123.467652,-1,-50,367.1,"11:18:00","Euphausia pacifica","juv",8,9,10
"7/26/04",3,"Hoop",38.0568,-123.183,-1,-50,340.28,"13:26:00","Euphausia pacifica","juv",5.1,5.1,32
"7/26/04",3,"Hoop",38.0568,-123.183,-1,-50,340.28,"13:26:00","Nematoscelis difficilis","juv",8.3,8.3,16
"7/26/04",3,"Hoop",38.0568,-123.183,-1,-50,340.28,"13:26:00","Euphausia pacifica","zoea",3.5,4,32
"7/27/04",4,"Hoop",37.882,-123.475,-1,-50,383.61,"11:15:00","Thysanoessa spinifera","juv",7.5,8,32
"7/27/04",4,"Hoop",37.882,-123.475,-1,-50,383.61,"11:15:00","Euphausia pacifica","juv",6,7.2,1104
"7/27/04",4,"Hoop",37.882,-123.475,-1,-50,383.61,"11:15:00","Nematoscelis difficilis","zoea",3.7,3.8,96
"7/27/04",4,"Hoop",37.882,-123.475,-1,-50,383.61,"11:15:00","Euphausia pacifica","zoea",3.5,4,1888
"7/27/04",5,"Hoop",37.8833404,-123.4276409,-1,-50,354.75,"10:23:00","Thysanoessa inspinata","juv",7,7.2,48
"7/27/04",5,"Hoop",37.8833404,-123.4276409,-1,-50,354.75,"10:23:00","Euphausia pacifica","juv",5,7,960
"7/27/04",5,"Hoop",37.8833404,-123.4276409,-1,-50,354.75,"10:23:00","Euphausia pacifica","zoea",3,4.1,2272
"7/27/04",5,"Hoop",37.8833404,-123.4276409,-1,-50,354.75,"10:23:00","Euphausiidae ","zoea",2.7,3.5,224
"7/27/04",5,"Hoop",37.8833404,-123.4276409,-1,-50,354.75,"10:23:00","Nematoscelis difficilis","zoea",3.2,3.2,64
"7/27/04",6,"Hoop",37.884643,-123.3800775,-1,-50,355.73,"9:41:00","Euphausia pacifica","juv",4.8,6.1,368
"7/27/04",6,"Hoop",37.884643,-123.3800775,-1,-50,355.73,"9:41:00","Euphausiidae ","protozoea",1.5,2,352
"7/27/04",6,"Hoop",37.884643,-123.3800775,-1,-50,355.73,"9:41:00","Euphausiidae ","zoea",2.5,3.1,3040
"7/27/04",7,"Hoop",37.8872483,-123.2849505,-1,-50,355.11,"8:45:00","Euphausia pacifica","juv",5,7,152
"7/27/04",7,"Hoop",37.8872483,-123.2849505,-1,-50,355.11,"8:45:00","Thysanoessa inspinata","juv",5,5,8
"7/27/04",7,"Hoop",37.8872483,-123.2849505,-1,-50,355.11,"8:45:00","Euphausia pacifica","juv",8.1,8.1,8
"7/27/04",7,"Hoop",37.8872483,-123.2849505,-1,-50,355.11,"8:45:00","Euphausia pacifica","juv",3.8,4.9,432
"7/27/04",7,"Hoop",37.8872483,-123.2849505,-1,-50,355.11,"8:45:00","Euphausiidae ","protozoea",1.9,2.2,224
"7/27/04",7,"Hoop",37.8872483,-123.2849505,-1,-50,355.11,"8:45:00","Euphausiidae ","zoea",2.6,3.1,592
"7/28/04",8,"Hoop",37.7233976,-123.1852812,-1,-50,353.13,"8:50:00","Thysanoessa spinifera","juv",6,6.3,16
"7/28/04",8,"Hoop",37.7233976,-123.1852812,-1,-50,353.13,"8:50:00","Euphausia pacifica","juv",5,7,72
"7/28/04",8,"Hoop",37.7233976,-123.1852812,-1,-50,353.13,"8:50:00","Euphausia pacifica","juv",3.8,4.9,384
"7/28/04",8,"Hoop",37.7233976,-123.1852812,-1,-50,353.13,"8:50:00","Nematoscelis difficilis","juv",4.3,4.3,32
"7/28/04",8,"Hoop",37.7233976,-123.1852812,-1,-50,353.13,"8:50:00","Euphausiidae ","protozoea",1.1,1.2,64
"7/28/04",8,"Hoop",37.7233976,-123.1852812,-1,-50,353.13,"8:50:00","Euphausiidae ","zoea",2.6,3.1,672
"7/28/04",9,"Hoop",37.7246041,-123.1378151,-1,-50,350.51,"9:36:00","Euphausia pacifica","juv",3.8,4.9,2368
"7/28/04",9,"Hoop",37.7246041,-123.1378151,-1,-50,350.51,"9:36:00","Euphausia pacifica","juv",5,7,1216
"7/28/04",9,"Hoop",37.7246041,-123.1378151,-1,-50,350.51,"9:36:00","Euphausiidae ","protozoea",1.1,1.2,576
"7/28/04",9,"Hoop",37.7246041,-123.1378151,-1,-50,350.51,"9:36:00","Euphausiidae ","zoea",2.6,3.1,128
"7/27/04",10,"Hoop",37.8925,-123.095,-1,-50,334.68,"7:26:00","Thysanoessa spinifera","juv",10.1,10.1,8
"7/27/04",10,"Hoop",37.8925,-123.095,-1,-50,334.68,"7:26:00","Thysanoessa spinifera","juv",6,7.1,56
"7/27/04",10,"Hoop",37.8925,-123.095,-1,-50,334.68,"7:26:00","Euphausia pacifica","juv",5,7,248
"7/27/04",10,"Hoop",37.8925,-123.095,-1,-50,334.68,"7:26:00","Euphausia pacifica","juv",3.8,4.9,272
"7/27/04",10,"Hoop",37.8925,-123.095,-1,-50,334.68,"7:26:00","Euphausiidae ","zoea",2.6,3.1,192
"7/28/04",11,"Hoop",37.7221,-123.233,-1,-50,370.53,"8:17:00","Euphausia pacifica","f",13.2,13.2,1
"7/28/04",11,"Hoop",37.7221,-123.233,-1,-50,370.53,"8:17:00","Nematoscelis difficilis","juv",3.1,4.9,384
"7/28/04",11,"Hoop",37.7221,-123.233,-1,-50,370.53,"8:17:00","Nematoscelis difficilis","juv",5.9,6.2,32
"7/28/04",11,"Hoop",37.7221,-123.233,-1,-50,370.53,"8:17:00","Euphausia pacifica","juv",3.8,4.9,528
"7/28/04",11,"Hoop",37.7221,-123.233,-1,-50,370.53,"8:17:00","Euphausia pacifica","juv",5,7,192
"7/28/04",11,"Hoop",37.7221,-123.233,-1,-50,370.53,"8:17:00","Thysanoessa gregaria","m",9.2,9.2,1
"7/28/04",11,"Hoop",37.7221,-123.233,-1,-50,370.53,"8:17:00","Euphausiidae ","zoea",2.6,3.1,352
"7/28/04",12,"Hoop",37.7270174,-123.042883,-1,-50,264,"10:30:00","Euphausia pacifica","juv",3.8,4.9,640
"7/28/04",12,"Hoop",37.7270174,-123.042883,-1,-50,264,"10:30:00","Euphausia pacifica","juv",5,7,1344
"7/28/04",12,"Hoop",37.7270174,-123.042883,-1,-50,264,"10:30:00","Nematoscelis difficilis","juv",3.1,4.9,256
"7/28/04",12,"Hoop",37.7270174,-123.042883,-1,-50,264,"10:30:00","Nematoscelis difficilis","juv",5.9,6.2,64
"7/28/04",12,"Hoop",37.7270174,-123.042883,-1,-50,264,"10:30:00","Thysanoessa spinifera","juv",4.1,4.3,256
"7/28/04",12,"Hoop",37.7270174,-123.042883,-1,-50,264,"10:30:00","Thysanoessa spinifera","juv",6.8,7.1,192
"7/28/04",12,"Hoop",37.7270174,-123.042883,-1,-50,264,"10:30:00","Euphausiidae ","zoea",2.6,3.1,512
"9/21/04",13,"Hoop",37.7221,-123.233,-1,-50,380.29,"12:30:00","Euphausia pacifica","juv",3.1,4.2,112
"9/21/04",13,"Hoop",37.7221,-123.233,-1,-50,380.29,"12:30:00","Nematoscelis difficilis","juv",3.9,4.5,208
"9/21/04",13,"Hoop",37.7221,-123.233,-1,-50,380.29,"12:30:00","Euphausiidae ","protozoea",1.9,2.2,992
"9/21/04",13,"Hoop",37.7221,-123.233,-1,-50,380.29,"12:30:00","Euphausiidae ","zoea",2.7,3.5,2096
"9/21/04",14,"Hoop",37.7233976,-123.1852812,-1,-44,292.45,"13:08:00","Nematoscelis difficilis","juv",4.5,4.5,32
"9/21/04",14,"Hoop",37.7233976,-123.1852812,-1,-44,292.45,"13:08:00","Euphausiidae ","protozoea",1.9,2.2,80
"9/21/04",14,"Hoop",37.7233976,-123.1852812,-1,-44,292.45,"13:08:00","Euphausia pacifica","zoea",3.5,4,160
"9/21/04",14,"Hoop",37.7233976,-123.1852812,-1,-44,292.45,"13:08:00","Euphausiidae ","zoea",2.7,3.5,352
"9/21/04",15,"Hoop",37.7246041,-123.1378151,-1,-27,310.7,"14:00:00","Euphausiidae ","protozoea",1.9,2.2,96
"9/21/04",15,"Hoop",37.7246041,-123.1378151,-1,-27,310.7,"14:00:00","Nematoscelis difficilis","zoea",3.7,3.8,24
"9/21/04",15,"Hoop",37.7246041,-123.1378151,-1,-27,310.7,"14:00:00","Euphausiidae ","zoea",2.7,3.5,88
"9/21/04",16,"Hoop",37.7270174,-123.042883,-1,-18,155.64,"15:01:00","Euphausiidae ","protozoea",1.9,2.2,64
"9/21/04",16,"Hoop",37.7270174,-123.042883,-1,-18,155.64,"15:01:00","Euphausiidae ","zoea",2.7,3.5,96
"9/21/04",17,"Hoop",37.7343,-122.748,-1,-25,159.33,"16:55:00","Euphausiidae ","zoea",2.5,3.1,4
"9/22/04",18,"Hoop",38.0461,-123.563,-1,-40,313.59,"9:48:00","Euphausiidae ","protozoea",1.9,2.2,592
"9/22/04",18,"Hoop",38.0461,-123.563,-1,-40,313.59,"9:48:00","Euphausiidae ","zoea",2.6,3.1,192
"9/22/04",19,"Hoop",38.0487809,-123.467652,-1,-38,275.31,"11:21:00","Euphausiidae ","protozoea",1.1,1.2,288
"9/22/04",19,"Hoop",38.0487809,-123.467652,-1,-38,275.31,"11:21:00","Euphausiidae ","zoea",2.6,3.1,512
"9/22/04",20,"Hoop",38.0474476,-123.5151749,-1,-48,253.12,"11:42:00","Euphausia pacifica","juv",10.1,10.1,2
"9/22/04",20,"Hoop",38.0474476,-123.5151749,-1,-48,253.12,"11:42:00","Thysanoessa spinifera","juv",6.3,6.3,1
"9/22/04",20,"Hoop",38.0474476,-123.5151749,-1,-48,253.12,"11:42:00","Euphausia pacifica","juv",6,9,7
"9/22/04",20,"Hoop",38.0474476,-123.5151749,-1,-48,253.12,"11:42:00","Euphausiidae ","protozoea",1.1,1.2,224
"9/22/04",20,"Hoop",38.0474476,-123.5151749,-1,-48,253.12,"11:42:00","Euphausiidae ","zoea",2.6,3.1,64
"9/22/04",21,"Hoop",38.0514476,-123.3726062,-1,-45,277.61,"12:32:00","Nematoscelis difficilis","imm f",9.5,9.5,1
"9/22/04",21,"Hoop",38.0514476,-123.3726062,-1,-45,277.61,"12:32:00","Euphausia recurva","imm m",9.1,9.1,1
"9/22/04",21,"Hoop",38.0514476,-123.3726062,-1,-45,277.61,"12:32:00","Thysanoessa spinifera","juv",7.1,7.1,1
"9/22/04",21,"Hoop",38.0514476,-123.3726062,-1,-45,277.61,"12:32:00","Euphausia pacifica","juv",8,8,1
"9/22/04",21,"Hoop",38.0514476,-123.3726062,-1,-45,277.61,"12:32:00","Euphausiidae ","protozoea",1.1,1.2,64
"9/22/04",21,"Hoop",38.0514476,-123.3726062,-1,-45,277.61,"12:32:00","Euphausiidae ","zoea",2.6,3.1,64
"9/23/04",23,"Hoop",37.882,-123.475,-1,-32,311.5,"10:52:00","Thysanoessa spinifera","juv",5.5,5.5,16
"9/23/04",24,"Hoop",37.8833404,-123.4276409,-1,-40,265.83,"12:31:00","Euphausiidae ","protozoea",1.5,2,12
"9/23/04",25,"Hoop",37.884643,-123.3800775,-1,-41,254.41,"12:48:00","Euphausiidae ","nauplii",0.5,0.6,32
